Date,S&P500,MEDCPIM158SFRBCLE,EFFR,FinBERT_Score
2014-12-01,2078.54,2.383394246,0.12,-0.456695
2015-01-01,2058.2,1.947529599,0.12,-0.455177
2015-02-01,2020.85,1.954494516,0.11,-0.455177
2015-03-01,2117.39,2.433335926,0.11,-0.455177
2015-04-01,2059.69,2.962650539,0.12,-0.455177
2015-05-01,2108.29,2.501291099,0.12,-0.455177
2015-06-01,2111.73,2.972399564,0.13,-0.455177
2015-07-01,2077.42,1.922025301,0.13,-0.455177
2015-08-01,2098.04,1.635790632,0.14,-0.455177
2015-09-01,1913.85,2.998415693,0.14,-0.455177
2015-10-01,1923.82,2.283164491,0.12,-0.455177
2015-11-01,2104.05,2.2654806,0.12,-0.455177
2015-12-01,2102.63,1.834719696,0.23,-0.455177
2016-01-01,2012.66,2.708416591,0.36,-0.456891
2016-02-01,1939.38,2.537714401,0.37,-0.456891
2016-03-01,1978.35,2.222004559,0.36,-0.456891
2016-04-01,2072.78,3.825477883,0.37,-0.456891
2016-05-01,2081.43,3.280519188,0.37,-0.456891
2016-06-01,2099.33,2.103390461,0.38,-0.456891
2016-07-01,2102.95,2.490164711,0.4,-0.456891
2016-08-01,2170.84,2.742570891,0.4,-0.456891
2016-09-01,2170.86,2.498329335,0.39,-0.456891
2016-10-01,2161.2,2.018025562,0.4,-0.456891
2016-11-01,2111.72,2.458831516,0.41,-0.456891
2016-12-01,2191.08,2.038385108,0.54,-0.456891
2017-01-01,2257.83,3.436305775,0.66,-0.442388
2017-02-01,2279.55,3.292346339,0.66,-0.442388
2017-03-01,2395.96,1.914383675,0.79,-0.442388
2017-04-01,2358.84,1.553658363,0.91,-0.442388
2017-05-01,2388.33,2.113218871,0.91,-0.442388
2017-06-01,2430.06,1.896833786,1.04,-0.442388
2017-07-01,2429.01,2.122093683,1.16,-0.442388
2017-08-01,2476.35,2.274757988,1.16,-0.442388
2017-09-01,2476.55,2.870256771,1.16,-0.442388
2017-10-01,2529.12,2.424963024,1.16,-0.442388
2017-11-01,2579.36,2.420392959,1.16,-0.442388
2017-12-01,2642.22,2.955747189,1.3,-0.442388
2018-01-01,2695.81,4.170000418,1.42,-0.443913
2018-02-01,2821.98,2.013279346,1.42,-0.443913
2018-03-01,2677.67,1.961900074,1.51,-0.443913
2018-04-01,2581.88,2.932009148,1.69,-0.443913
2018-05-01,2654.8,2.981832551,1.7,-0.443913
2018-06-01,2734.62,2.632117889,1.82,-0.443913
2018-07-01,2726.71,2.111493914,1.91,-0.443913
2018-08-01,2813.36,2.296711287,1.91,-0.443913
2018-09-01,2896.72,2.333723356,1.95,-0.443913
2018-10-01,2924.59,2.606262687,2.19,-0.443913
2018-11-01,2740.37,3.723763602,2.2,-0.443913
2018-12-01,2790.37,2.911777015,2.27,-0.443913
2019-01-01,2510.03,2.889604726,2.4,-0.442248
